Start Time:  3/31/2017 1:00:00 PM         Time Completed:  3/31/2017 1:36:15 PM     Elapsed Time:  00:36:14
Sample ID:     Magnetic Material

Experiment:    C:\DummyDir\file.exp
Data File:     C:\DummyDir\file.txt
Plot File:     C:\DummyDir\file.oc2
VSM Exp File:  C:\DummyDir\file.stp
VSM Data File: C:\DummyDir\file.dat

***DATA***

Field(G)	 Moment(emu)	
 19786.3 	 0.162385 	
 19296.5 	 0.162857 	
 18809.2 	 0.163127 	
 18321.9 	 0.163254 	
 17837.8 	 0.163307 	
 17352.4 	 0.163323 	
 16869.2 	 0.163311 	
 16384 	 0.163284 	
 15900.8 	 0.163237 	
 15415.7 	 0.163177 	
 14931.9 	 0.163102 	
 14448.5 	 0.163014 	
 13963.7 	 0.16291 	
 13480.7 	 0.162789 	
 12995.8 	 0.162651 	
 12512.9 	 0.162497 	
 12028.2 	 0.162329 	
 11545.4 	 0.162147 	
 11060.5 	 0.161946 	
 10577.6 	 0.161734 	
 10092.8 	 0.161503 	
 9609.36 	 0.161252 	
 9125.76 	 0.160976 	
 8641.4 	 0.160669 	
 8158.54 	 0.16033 	
 7673.72 	 0.159944 	
 7191.08 	 0.1595 	
 6706.18 	 0.158979 	
 6223.27 	 0.158346 	
 5738.55 	 0.157556 	
 5255.71 	 0.15654 	
 4917.71 	 0.155567 	
 4718.6 	 0.154917 	
 4518.88 	 0.154169 	
 4318.57 	 0.153306 	
 4118.93 	 0.152301 	
 3918.55 	 0.151115 	
 3718.96 	 0.149726 	
 3518.54 	 0.148074 	
 3318.94 	 0.14612 	
 3118.57 	 0.143784 	
 2918.96 	 0.141011 	
 2718.55 	 0.137688 	
 2518.65 	 0.133728 	
 2318.81 	 0.129019 	
 2118.52 	 0.123446 	
 1918.93 	 0.116934 	
 1718.57 	 0.109375 	
 1518.95 	 0.100808 	
 1318.56 	 0.0911833 	
 1118.98 	 0.0805906 	
 1000.86 	 0.0731806 	
 976.344 	 0.0716305 	
 951.325 	 0.0701156 	
 926.339 	 0.0685942 	
 901.323 	 0.0670518 	
 876.313 	 0.065492 	
 851.36 	 0.0639249 	
 826.277 	 0.0623352 	
 801.351 	 0.0607322 	
 776.303 	 0.0591019 	
 751.327 	 0.0574615 	
 726.319 	 0.0558039 	
 701.378 	 0.0541349 	
 676.301 	 0.052438 	
 651.322 	 0.0507363 	
 626.299 	 0.049008 	
 601.296 	 0.0472661 	
 576.351 	 0.0455059 	
 551.299 	 0.0437211 	
 526.359 	 0.0419279 	
 501.308 	 0.0401018 	
 476.348 	 0.0382723 	
 451.323 	 0.0364106 	
 426.38 	 0.034542 	
 401.285 	 0.0326493 	
 376.326 	 0.0307475 	
 351.3 	 0.0288363 	
 326.308 	 0.0269019 	
 301.367 	 0.0249546 	
 276.305 	 0.0229759 	
 251.338 	 0.0210079 	
 226.328 	 0.0190087 	
 201.34 	 0.017003 	
 176.291 	 0.0149861 	
 151.371 	 0.0129637 	
 126.288 	 0.010921 	
 111.076 	 0.00955843 	
 106.132 	 0.00913664 	
 101.109 	 0.00872598 	
 96.1529 	 0.00831293 	
 91.139 	 0.00790933 	
 86.141 	 0.00750357 	
 81.1209 	 0.00708701 	
 76.1443 	 0.0066714 	
 71.1384 	 0.00625933 	
 66.1665 	 0.00583794 	
 61.1358 	 0.00542844 	
 56.1211 	 0.00502139 	
 51.1483 	 0.00460585 	
 46.1406 	 0.00419553 	
 41.1442 	 0.00378534 	
 36.1402 	 0.00337084 	
 31.1205 	 0.00296043 	
 26.179 	 0.00254341 	
 21.1519 	 0.00212868 	
 16.1622 	 0.00171722 	
 11.1726 	 0.00130061 	
 6.13738 	 0.000886226 	
 1.18819 	 0.000474513 	
-3.858 	 0.0000592927 	
-8.84302 	-0.000355697 	
-13.883 	-0.000764867 	
-18.8703 	-0.0011835 	
-23.8179 	-0.00159955 	
-28.8557 	-0.00201136 	
-33.8493 	-0.00242051 	
-38.861 	-0.00282775 	
-43.8526 	-0.00323527 	
-48.8757 	-0.00364629 	
-53.8353 	-0.00404924 	
-58.8364 	-0.00446423 	
-63.8611 	-0.00487256 	
-68.8336 	-0.00528893 	
-73.8585 	-0.00569311 	
-78.8445 	-0.00609413 	
-83.8448 	-0.0065052 	
-97.991 	-0.00754426 	
-123.037 	-0.00955115 	
-148.005 	-0.0115615 	
-173.045 	-0.0135588 	
-198.01 	-0.0155407 	
-223.031 	-0.0175193 	
-248.045 	-0.0194856 	
-273.011 	-0.0214263 	
-298.047 	-0.0233661 	
-322.985 	-0.0252814 	
-348.04 	-0.0271894 	
-373.011 	-0.0290779 	
-398.045 	-0.0309553 	
-422.999 	-0.0328116 	
-448.04 	-0.034658 	
-472.994 	-0.0364904 	
-498.009 	-0.0383085 	
-523.034 	-0.0401142 	
-548 	-0.041894 	
-573.032 	-0.0436653 	
-597.989 	-0.045409 	
-623.021 	-0.0471515 	
-647.979 	-0.0488694 	
-673.05 	-0.0505783 	
-697.965 	-0.0522656 	
-723.035 	-0.0539461 	
-748.008 	-0.0556001 	
-773.018 	-0.0572469 	
-798.046 	-0.0588724 	
-822.996 	-0.0604791 	
-848.053 	-0.0620763 	
-873.026 	-0.0636533 	
-898.031 	-0.0652206 	
-923.013 	-0.0667631 	
-948.035 	-0.0682958 	
-973.014 	-0.0698053 	
-1090.69 	-0.0758346 	
-1339.53 	-0.0891742 	
-1589.81 	-0.101205 	
-1839.91 	-0.111638 	
-2089.44 	-0.120446 	
-2339.94 	-0.127755 	
-2589.37 	-0.133677 	
-2839.97 	-0.138465 	
-3089.46 	-0.142293 	
-3340 	-0.145377 	
-3589.4 	-0.14785 	
-3839.93 	-0.149854 	
-4089.46 	-0.151473 	
-4339.9 	-0.152797 	
-4590 	-0.153889 	
-4839.42 	-0.154793 	
-5200.88 	-0.155813 	
-5699.38 	-0.156939 	
-6200.56 	-0.157802 	
-6699.41 	-0.158472 	
